CI,ISF,NASDAQ,NYSE,Other,one_m_diff_volume,three_m_diff_volume,six_m_diff_volume,one_y_diff_volume,two_y_diff_volume,three_y_diff_volume,one_m_diff_shareprice,three_m_diff_shareprice,six_m_diff_shareprice,one_y_diff_shareprice,two_y_diff_shareprice,three_y_diff_shareprice,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),Sharing Firm Introduced,Relatedness with Sharing Firm,Exchange
1,0,0,1,0,-66.19039974313694,-43.52373290426388,-57.43734842360549,-56.07008760951189,-51.1368909512761,6.363636363636363,1.9433085177029847,-1.4062130277524205,22.80842105263158,-32.90623849834376,1.207536694541801,229.8315051453127,1995-09-30,1995-09-30,1995-09-30,1995-09-30,1995-09-30,1995-09-30,No,Closely Related,NYSE
1,1,0,1,0,232.5735992402659,508.83190883190883,78.86989553656221,-49.24026590693257,67.90123456790124,204.3684710351377,-18.572359173038024,-38.09442177803682,-33.80875647135461,-13.33356190214969,-5.9519319779202515,217.13923269448347,1995-10-30,1996-09-30,1997-09-30,1995-12-30,1998-09-30,1996-03-30,Yes,Closely Related,NYSE
0,0,0,1,0,617.1052631578948,890.9090909090909,779.0322580645161,577.0186335403727,110.42471042471043,242.76729559748426,2.857142857142857,0.0,0.0,2.857142857142857,24.137931034482758,-18.181818181818183,1995-09-30,1995-09-30,1995-09-30,1995-09-30,1995-09-30,1995-09-30,No,Less Closely Related,NYSE
0,1,0,1,0,-85.96330275229359,-78.44036697247707,-67.88990825688074,-39.44954128440367,-89.35779816513761,-94.4954128440367,-5.555555555555555,2.7777777777777777,5.555555555555555,-6.25,10.069444444444445,-9.027777777777777,1995-10-30,1996-09-30,1997-09-30,1995-12-30,1998-09-30,1996-03-30,Yes,Less Closely Related,NYSE
1,0,0,1,0,-5.003692762186115,-8.108590819789248,61.361141602634476,-25.342813610970033,77.93532768459276,53.23901712583768,12.813278008298754,26.10389610389611,44.7710330138445,59.51654541187514,248.20696721311478,200.08830022075057,2005-06-30,2005-06-30,2005-06-30,2005-06-30,2005-06-30,2005-06-30,No,Closely Related,NYSE
1,1,0,1,0,-29.69387755102041,11.7444120505345,-56.545189504373184,-12.026239067055394,61.953352769679306,160.1469387755102,8.900985728998084,0.9857289980873941,10.048550831249079,7.400323672208329,50.41930263351478,-10.843018978961302,2005-07-30,2006-06-30,2007-06-30,2005-09-30,2008-06-30,2005-12-30,Yes,Closely Related,NYSE
0,0,0,1,0,154.29279801655537,61.714518220888536,272.6180710183991,23.511245775550634,-23.42308711254546,-4.0295196269298685,1.2995558480013147,3.1490787269681664,-0.996784565916406,7.600908614363099,22.18253968253968,23.012385137834592,2005-06-30,2005-06-30,2005-06-30,2005-06-30,2005-06-30,2005-06-30,No,Less Closely Related,NYSE
0,1,0,1,0,-40.25884165998333,-35.931185230614396,-58.77561290119671,-37.32446415373244,14.990273780880942,232.55863251088988,-0.38973692757387934,-4.887950633322504,2.0298798311139983,8.931471256901592,14.225397856446905,-22.864566417668073,2005-07-30,2006-06-30,2007-06-30,2005-09-30,2008-06-30,2005-12-30,Yes,Less Closely Related,NYSE
1,0,0,1,0,45.41018201002374,635.981308411215,115.33203125,177.14932126696831,80.6488612157955,127.74220202437515,-6.071208067503607,-0.566448801742915,2.8159495381842756,-1.7649591046061133,3.963553530751713,3.2579185520361937,2004-02-29,2004-02-29,2004-02-29,2004-02-29,2004-02-29,2004-02-29,No,Closely Related,NYSE
1,1,0,1,0,-15.854875283446713,-62.98412698412699,-61.4421768707483,-5.687074829931973,-48.997732426303855,-16.526077097505667,-3.045574057843998,2.1691498685363757,-10.210341805433838,-19.675723049956186,-38.168273444347065,-45.81507449605609,2004-03-29,2005-02-28,2006-02-28,2004-05-29,2007-02-28,2004-08-29,Yes,Closely Related,NYSE
