Sharing Economy Firm,Incumbent Firms,Ticker,Exchange,CI,Market Index,ISF,Date_End(t=1),Date_End(t=12),Date_End(t=24),Date_End(t=3),Date_End(t=36),Date_End(t=6),SP_End(t=1),SP_End(t=12),SP_End(t=24),SP_End(t=3),SP_End(t=36),SP_End(t=6),SP_Start(t=1),SP_Start(t=12),SP_Start(t=24),SP_Start(t=3),SP_Start(t=36),SP_Start(t=6),Volume_End(t=1),Volume_End(t=12),Volume_End(t=24),Volume_End(t=3),Volume_End(t=36),Volume_End(t=6),Volume_Start(t=1),Volume_Start(t=12),Volume_Start(t=24),Volume_Start(t=3),Volume_Start(t=36),Volume_Start(t=6),S&P500_End(t=1),S&P500_End(t=12),S&P500_End(t=24),S&P500_End(t=3),S&P500_End(t=36),S&P500_End(t=6),S&P500_Start(t=1),S&P500_Start(t=12),S&P500_Start(t=24),S&P500_Start(t=3),S&P500_Start(t=36),S&P500_Start(t=6),% Change in Share Price (t=1),% Change in Share Price (t=3),% Change in Share Price (t=6),% Change in Share Price (t=12),% Change in Share Price (t=24),% Change in Share Price (t=36),% Change in Volume (t=1),% Change in Volume (t=3),% Change in Volume (t=6),% Change in Volume (t=12),% Change in Volume (t=24),% Change in Volume (t=36),% Change in S&P500 (t=1),% Change in S&P500 (t=3),% Change in S&P500 (t=6),% Change in S&P500 (t=12),% Change in S&P500 (t=24),% Change in S&P500 (t=36),NASDAQ,NYSE,Other,Sharing Firm Introduced,Relatedness with Sharing Firm
Ebay,BestBuy,BBY,NYSE,1,NYA,0,9/30/95,9/30/95,9/30/95,9/30/95,9/30/95,9/30/95,2.9167,2.9167,2.9167,2.9167,2.9167,2.9167,2.8611,4.3472,2.8819,2.9583,0.8843,2.375,1895400,1895400,1895400,1895400,1895400,1895400,5606100,4314600,3879000,3356100,1782000,4453200,584.41,584.41,584.41,584.41,584.41,584.41,560.92,462.69,458.93,544.75,417.8,502.22,1.943308518,-1.406213028,22.80842105,-32.9062385,1.207536695,229.8315051,-66.19039974,-43.5237329,-57.43734842,-56.07008761,-51.13689095,6.363636364,4.187762961,7.280403855,16.3653379,26.30703063,27.34186041,39.87793202,0,1,0,No,Closely Related
Ebay,BestBuy,BBY,NYSE,1,NYA,1,10/30/95,9/30/96,9/30/97,12/30/95,9/30/98,3/30/96,2.375,2.5278,2.7431,1.8056,9.25,1.9306,2.9167,2.9167,2.9167,2.9167,2.9167,2.9167,6303600,962100,3182400,11539800,5769000,3390300,1895400,1895400,1895400,1895400,1895400,1895400,583.25,687.31,947.28,615.93,1017.01,645.5,584.41,584.41,584.41,584.41,584.41,584.41,-18.57235917,-38.09442178,-33.80875647,-13.3335619,-5.951931978,217.1392327,232.5735992,508.8319088,78.86989554,-49.24026591,67.90123457,204.368471,-0.198490786,5.39347376,10.45327766,17.60750158,62.09168221,74.023374,0,1,0,Yes,Closely Related
Ebay,RPT Realty,RPT,NYSE,0,NYA,0,9/30/95,9/30/95,9/30/95,9/30/95,9/30/95,9/30/95,18,18,18,18,18,18,17.5,17.5,14.5,18,22,18,27250,27250,27250,27250,27250,27250,3800,4025,12950,2750,7950,3100,584.41,584.41,584.41,584.41,584.41,584.41,560.92,462.69,458.93,544.75,417.8,502.22,2.857142857,0,0,2.857142857,24.13793103,-18.18181818,617.1052632,890.9090909,779.0322581,577.0186335,110.4247104,242.7672956,4.187762961,7.280403855,16.3653379,26.30703063,27.34186041,39.87793202,0,1,0,No,Less Closely Related
Ebay,RPT Realty,RPT,NYSE,0,NYA,1,10/30/95,9/30/96,9/30/97,12/30/95,9/30/98,3/30/96,17,16.875,19.8125,18.5,16.375,19,18,18,18,18,18,18,3825,16500,2900,5875,1500,8750,27250,27250,27250,27250,27250,27250,583.25,687.31,947.28,615.93,1017.01,645.5,584.41,584.41,584.41,584.41,584.41,584.41,-5.555555556,2.777777778,5.555555556,-6.25,10.06944444,-9.027777778,-85.96330275,-78.44036697,-67.88990826,-39.44954128,-89.35779817,-94.49541284,-0.198490786,5.39347376,10.45327766,17.60750158,62.09168221,74.023374,0,1,0,Yes,Less Closely Related
Etsy,Nordstrom,JWN,NYSE,1,NYA,0,6/30/05,6/30/05,6/30/05,6/30/05,6/30/05,6/30/05,33.985,33.985,33.985,33.985,33.985,33.985,30.125,21.305,9.76,26.95,11.325,23.475,2058000,2058000,2058000,2058000,2058000,2058000,2166400,2756600,1156600,2239600,1343000,1275400,1191.33,1191.33,1191.33,1191.33,1191.33,1191.33,1198.78,1140.84,974.5,1181.41,989.81,1213.55,12.81327801,26.1038961,44.77103301,59.51654541,248.2069672,200.0883002,-5.003692762,-8.10859082,61.3611416,-25.34281361,77.93532768,53.23901713,-0.621465156,0.839674626,-1.830991719,4.425686336,22.25038481,20.35946293,0,1,0,No,Closely Related
Etsy,Nordstrom,JWN,NYSE,1,NYA,1,7/30/05,6/30/06,6/30/07,9/30/05,6/30/08,12/30/05,37.01,36.5,51.12,34.32,30.3,37.4,33.985,33.985,33.985,33.985,33.985,33.985,1446900,1810500,3333000,2299700,5353824,894300,2058000,2058000,2058000,2058000,2058000,2058000,1234.18,1270.2,1503.35,1228.81,1280,1248.29,1191.33,1191.33,1191.33,1191.33,1191.33,1191.33,8.900985729,0.985728998,10.04855083,7.400323672,50.41930263,-10.84301898,-29.69387755,11.74441205,-56.5451895,-12.02623907,61.95335277,160.1469388,3.59682036,3.146063643,4.781210916,6.620331898,26.19089589,7.442941922,0,1,0,Yes,Closely Related
Etsy,Wells Fargo & Co,WFC,NYSE,0,NYA,0,6/30/05,6/30/05,6/30/05,6/30/05,6/30/05,6/30/05,30.79,30.79,30.79,30.79,30.79,30.79,30.395,28.615,25.2,29.85,25.03,31.1,12718200,12718200,12718200,12718200,12718200,12718200,5001400,10297200,16608400,7864600,13252200,3413200,1191.33,1191.33,1191.33,1191.33,1191.33,1191.33,1198.78,1140.84,974.5,1181.41,989.81,1213.55,1.299555848,3.149078727,-0.996784566,7.600908614,22.18253968,23.01238514,154.292798,61.71451822,272.618071,23.51124578,-23.42308711,-4.029519627,-0.621465156,0.839674626,-1.830991719,4.425686336,22.25038481,20.35946293,0,1,0,No,Less Closely Related
Etsy,Wells Fargo & Co,WFC,NYSE,0,NYA,1,7/30/05,6/30/06,6/30/07,9/30/05,6/30/08,12/30/05,30.67,33.54,35.17,29.285,23.75,31.415,30.79,30.79,30.79,30.79,30.79,30.79,7598000,7971200,14624693,8148400,42295472,5243000,12718200,12718200,12718200,12718200,12718200,12718200,1234.18,1270.2,1503.35,1228.81,1280,1248.29,1191.33,1191.33,1191.33,1191.33,1191.33,1191.33,-0.389736928,-4.887950633,2.029879831,8.931471257,14.22539786,-22.86456642,-40.25884166,-35.93118523,-58.7756129,-37.32446415,14.99027378,232.5586325,3.59682036,3.146063643,4.781210916,6.620331898,26.19089589,7.442941922,0,1,0,Yes,Less Closely Related
Facebook,New York Times,NYT,NYSE,1,NYA,0,2/29/04,2/29/04,2/29/04,2/29/04,2/29/04,2/29/04,45.64,45.64,45.64,45.64,45.64,45.64,48.59,46.46,43.9,45.9,44.2,44.39,1102500,1102500,1102500,1102500,1102500,1102500,758200,397800,610300,149800,484100,512000,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,1134.12,841.15,1106.73,1058.2,1239.94,1008.01,-6.071208068,-0.566448802,2.815949538,-1.764959105,3.963553531,3.257918552,45.41018201,635.9813084,115.3320313,177.1493213,80.64886122,127.742202,0.954043664,8.196938197,13.58419063,36.11603162,3.45251326,-7.661661048,0,1,0,No,Closely Related
Facebook,New York Times,NYT,NYSE,1,NYA,1,3/29/04,2/28/05,2/28/06,5/29/04,2/28/07,8/29/04,44.25,36.66,28.22,46.63,24.73,40.98,45.64,45.64,45.64,45.64,45.64,45.64,927700,1039800,562300,408100,920300,425100,1102500,1102500,1102500,1102500,1102500,1102500,1122.47,1203.6,1280.66,1120.68,1406.82,1107.77,1144.94,1144.94,1144.94,1144.94,1144.94,1144.94,-3.045574058,2.169149869,-10.21034181,-19.67572305,-38.16827344,-45.8150745,-15.85487528,-62.98412698,-61.44217687,-5.68707483,-48.99773243,-16.5260771,-1.962548256,-2.118888326,-3.24645833,5.123412581,11.85389627,22.8728143,0,1,0,Yes,Closely Related
